No,Paper,Authors,Name,Size,Area/Domain,Open-source,Bias Cases/Protected Attributes,Bias types ,Mechanism Type,Base AI Algorithm,Fairness metrics,Model/Method,Dataset Description,Model/Method Description
14,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Dutch Census,"189,725",Financial,yes,Gender/Sex,,"In-process, Post-process","In-process - decision tree, Post-process - any algorithm",Demographic parity,"Discrimination Aware Tree Construction (new split criterion), Relabeling (post-process)","description 1: The Dutch Census dataset includes 189,725 instances and 13 attributes of individuals. It is publicly available in the IPUMS repository. Kamiran and Calders and Agarwal et al. use this dataset with only the 60,420 individuals who are not underaged. Their goal is to predict whether an individual holds a highly prestigious occupation by using features such as gender, age, household details, location, citizenship, birth country, education, economic status, and marital status. The sensitive feature utilized is gender.","New split criterion (in-process) while maximizing information gain between selected split attribute to class label, also minimizing information gain to sensitive attribute. Leaf relabeling (post-process)—change class labels of some leaves trading as little accuracy as possible, using KNAPSACK optimization formulation."
14,11. A survey on datasets for fairness-aware machine learning,"Tai Le Quy1, Arjun Roy, Vasileios Iosifidis, Wenbin Zhang, Eirini Ntoutsi",Dutch Census,"189,725",Financial,yes,Gender/Sex,,,,,,description 2: The Dutch census dataset represented aggregated groups of people in the Netherlands for the year 2001. Researchers have used Dutch dataset to formulate a binary classification task to predict a person's occupation which can be categorized as high-level (prestigious) or low-level profession.,
15,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",Diversity in faces,"1,000,000 images",Facial images,,,,,,,,"The Diversity in Faces (DiF) is an image dataset collected for fairness research in face recognition. DiF is a large dataset containing one million annotations for face images. It is also a diverse dataset with diverse facial features, such as different craniofacial distances, skin color, facial symmetry and contrast, age, pose, gender, resolution, along with diverse areas and ratios.",
16,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",ProPublica,"6,167",Criminal risk,yes,"Race, Gender/Sex",,Pre-process,Any,Disparate impact,Optimized Pre-Processing for Discrimination Prevention,"The ProPublica dataset includes data from the COMPAS risk assessment system. This dataset was previously extensively used for fairness analysis in the field of criminal justice risk. The dataset includes 6,167 individuals, and the features in the dataset include number of previous felonies, charge degree, age, race, and gender. The target variable indicates whether an inmate recidivated (was arrested again) within 2 years after release from prison. As for the sensitive variable, this dataset was previously used with two variations: the first when race was considered as the sensitive attribute and the second when gender was considered as the sensitive attribute. The dataset is publicly available from Larson et al.",Transforming the data to a new mapping that enhances both group fairness and individual fairness while maintaining utility. An optimization formulation that incorporates these three requirements.
16,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",ProPublica,"6,167",Criminal risk,yes,"Race, Gender/Sex",,Pre-process,Any,Group preference-based fairness,Decoupled Classifiers with Preference Guarantees,"The ProPublica dataset includes data from the COMPAS risk assessment system. This dataset was previously extensively used for fairness analysis in the field of criminal justice risk. The dataset includes 6,167 individuals, and the features in the dataset include number of previous felonies, charge degree, age, race, and gender. The target variable indicates whether an inmate recidivated (was arrested again) within 2 years after release from prison. As for the sensitive variable, this dataset was previously used with two variations: the first when race was considered as the sensitive attribute and the second when gender was considered as the sensitive attribute. The dataset is publicly available from Larson et al.",Recursive feature selection procedure for building decoupled classifiers.
16,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",ProPublica,"6,167",Criminal risk,yes,"Race, Gender/Sex",,Pre-process,Any,Pairwise fairness,Pairwise Fair Representation,"The ProPublica dataset includes data from the COMPAS risk assessment system. This dataset was previously extensively used for fairness analysis in the field of criminal justice risk. The dataset includes 6,167 individuals, and the features in the dataset include number of previous felonies, charge degree, age, race, and gender. The target variable indicates whether an inmate recidivated (was arrested again) within 2 years after release from prison. As for the sensitive variable, this dataset was previously used with two variations: the first when race was considered as the sensitive attribute and the second when gender was considered as the sensitive attribute. The dataset is publicly available from Larson et al.",Pre-process mechanism to create fair representations by leveraging external knowledge on human judgments on pairs of individuals that should be treated similarly. Use fairness graph constraints combined with data-driven similarities.
16,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",ProPublica,"6,167",Criminal risk,yes,"Race, Gender/Sex",,In-process,Decision boundary based,Disparate impact,Fairness Constraints,"The ProPublica dataset includes data from the COMPAS risk assessment system. This dataset was previously extensively used for fairness analysis in the field of criminal justice risk. The dataset includes 6,167 individuals, and the features in the dataset include number of previous felonies, charge degree, age, race, and gender. The target variable indicates whether an inmate recidivated (was arrested again) within 2 years after release from prison. As for the sensitive variable, this dataset was previously used with two variations: the first when race was considered as the sensitive attribute and the second when gender was considered as the sensitive attribute. The dataset is publicly available from Larson et al.",Optimization using additional constraints to control the covariance.
16,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",ProPublica,"6,167",Criminal risk,yes,"Race, Gender/Sex",,In-process,Decision boundary based,Equalized odds,Removing Disparate Mistreatment,"The ProPublica dataset includes data from the COMPAS risk assessment system. This dataset was previously extensively used for fairness analysis in the field of criminal justice risk. The dataset includes 6,167 individuals, and the features in the dataset include number of previous felonies, charge degree, age, race, and gender. The target variable indicates whether an inmate recidivated (was arrested again) within 2 years after release from prison. As for the sensitive variable, this dataset was previously used with two variations: the first when race was considered as the sensitive attribute and the second when gender was considered as the sensitive attribute. The dataset is publicly available from Larson et al.",Minimizing a proxy for equalized odds with constraints.
16,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",ProPublica,"6,167",Criminal risk,yes,"Race, Gender/Sex",,In-process,Decision boundary based,Equalized odds,Penalizing Unfairness,"The ProPublica dataset includes data from the COMPAS risk assessment system. This dataset was previously extensively used for fairness analysis in the field of criminal justice risk. The dataset includes 6,167 individuals, and the features in the dataset include number of previous felonies, charge degree, age, race, and gender. The target variable indicates whether an inmate recidivated (was arrested again) within 2 years after release from prison. As for the sensitive variable, this dataset was previously used with two variations: the first when race was considered as the sensitive attribute and the second when gender was considered as the sensitive attribute. The dataset is publicly available from Larson et al.",Minimizing a proxy for equalized odds in a penalty to the objective function.
16,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",ProPublica,"6,167",Criminal risk,yes,"Race, Gender/Sex",,In-process,Logistic regression,Procedural fairness,Feature Selection for Procedurally Fair Learning,"The ProPublica dataset includes data from the COMPAS risk assessment system. This dataset was previously extensively used for fairness analysis in the field of criminal justice risk. The dataset includes 6,167 individuals, and the features in the dataset include number of previous felonies, charge degree, age, race, and gender. The target variable indicates whether an inmate recidivated (was arrested again) within 2 years after release from prison. As for the sensitive variable, this dataset was previously used with two variations: the first when race was considered as the sensitive attribute and the second when gender was considered as the sensitive attribute. The dataset is publicly available from Larson et al.","Perform fair feature selection to balance procedural fairness (that considers fair process rather than fair outcome) and accuracy, using constrained submodular optimization. Combines human judgments to assess procedural fairness."
16,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",ProPublica,"6,167",Criminal risk,yes,"Race, Gender/Sex",,In-process,Convex boundary-based classifiers,Group preference-based fairness,Achieving preferred treatment and preferred impact,"The ProPublica dataset includes data from the COMPAS risk assessment system. This dataset was previously extensively used for fairness analysis in the field of criminal justice risk. The dataset includes 6,167 individuals, and the features in the dataset include number of previous felonies, charge degree, age, race, and gender. The target variable indicates whether an inmate recidivated (was arrested again) within 2 years after release from prison. As for the sensitive variable, this dataset was previously used with two variations: the first when race was considered as the sensitive attribute and the second when gender was considered as the sensitive attribute. The dataset is publicly available from Larson et al.",In-process mechanisms that solves an optimization problem that balances accuracy and tractable proxies for preferred treatment and preferred impact.
16,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",ProPublica,"6,167",Criminal risk,yes,"Race, Gender/Sex",,In-process,Linear classifier,Pairwise fairness,Algorithmic Framework for Fairness Elicitation,"The ProPublica dataset includes data from the COMPAS risk assessment system. This dataset was previously extensively used for fairness analysis in the field of criminal justice risk. The dataset includes 6,167 individuals, and the features in the dataset include number of previous felonies, charge degree, age, race, and gender. The target variable indicates whether an inmate recidivated (was arrested again) within 2 years after release from prison. As for the sensitive variable, this dataset was previously used with two variations: the first when race was considered as the sensitive attribute and the second when gender was considered as the sensitive attribute. The dataset is publicly available from Larson et al.",In-process mechanism that leverages external information on equally deserving individuals. The optimization procedure trades off classification accuracy with frequency of decisions that violates human subjective fairness judgments.
16,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",ProPublica,"6,167",Criminal risk,yes,"Race, Gender/Sex",,In-process,SVM,"Equalized odds, Overall accuracy equality",Recycling Privileged Learning and Distribution Matching,"The ProPublica dataset includes data from the COMPAS risk assessment system. This dataset was previously extensively used for fairness analysis in the field of criminal justice risk. The dataset includes 6,167 individuals, and the features in the dataset include number of previous felonies, charge degree, age, race, and gender. The target variable indicates whether an inmate recidivated (was arrested again) within 2 years after release from prison. As for the sensitive variable, this dataset was previously used with two variations: the first when race was considered as the sensitive attribute and the second when gender was considered as the sensitive attribute. The dataset is publicly available from Larson et al.",Use SVM with privileged learning. Combine the sensitive attributes as privileged information that is known only at training time. Use the MMD criterion to encourage the distributions to be similar across privileged and unprivileged groups.
16,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",ProPublica,"6,167",Criminal risk,yes,"Race, Gender/Sex",,In-process,Any,"Demographic parity, Equalized odds",ReductionsApproach,"The ProPublica dataset includes data from the COMPAS risk assessment system. This dataset was previously extensively used for fairness analysis in the field of criminal justice risk. The dataset includes 6,167 individuals, and the features in the dataset include number of previous felonies, charge degree, age, race, and gender. The target variable indicates whether an inmate recidivated (was arrested again) within 2 years after release from prison. As for the sensitive variable, this dataset was previously used with two variations: the first when race was considered as the sensitive attribute and the second when gender was considered as the sensitive attribute. The dataset is publicly available from Larson et al.",A minimax optimization formulation that aims at maximizing the predictor’s capability to predict the outcome while minimizing the capability to predict the sensitive feature. Solved using saddle point methods.
16,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",ProPublica,"6,167",Criminal risk,yes,"Race, Gender/Sex",,Post-process,Any score based,"Demographic parity, Conditional statistical parity, Predictive parity",Cost of Fairness,"The ProPublica dataset includes data from the COMPAS risk assessment system. This dataset was previously extensively used for fairness analysis in the field of criminal justice risk. The dataset includes 6,167 individuals, and the features in the dataset include number of previous felonies, charge degree, age, race, and gender. The target variable indicates whether an inmate recidivated (was arrested again) within 2 years after release from prison. As for the sensitive variable, this dataset was previously used with two variations: the first when race was considered as the sensitive attribute and the second when gender was considered as the sensitive attribute. The dataset is publicly available from Larson et al.",Selecting separate thresholds for each group that maximizes accuracy while minimizing demographic parity.
16,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",ProPublica,"6,167",Criminal risk,yes,"Race, Gender/Sex",,Post-process,Any,Combination of individual and group fairness,Individual+Group Debiasing,"The ProPublica dataset includes data from the COMPAS risk assessment system. This dataset was previously extensively used for fairness analysis in the field of criminal justice risk. The dataset includes 6,167 individuals, and the features in the dataset include number of previous felonies, charge degree, age, race, and gender. The target variable indicates whether an inmate recidivated (was arrested again) within 2 years after release from prison. As for the sensitive variable, this dataset was previously used with two variations: the first when race was considered as the sensitive attribute and the second when gender was considered as the sensitive attribute. The dataset is publicly available from Larson et al.",Post-process mechanism to balance accuracy with both individual and group fairness. Begin by detecting samples that are prone to individual bias and consider them for prediction change for enhancing disparate impact. Note that this method does not require ground truth class labels for the validation set.
17,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Apnea,,,,,,Pre-process,Any,Group preference-based fairness,Decoupled Classifiers with Preference Guarantees,,Recursive feature selection procedure for building decoupled classifiers.
18,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",College Admissions,"20,000 admissions",,no,"Gender/Sex, Race",,In-process,Decision boundary based,Equalized odds,Penalizing Unfairness,"The College Admissions dataset was collected by the UCLA law school. It includes data from more than 20,000 records of law school students who took the bar exam. The goal of this dataset is to predict whether a student will pass the exam based on factors such as LSAT score, undergraduate GPA, and family income. This dataset was used, for example, by Berk et al., where gender was studied as the sensitive feature, and Bechavod and Ligett, where race was studied as the sensitive feature.",Minimizing a proxy for equalized odds in a penalty to the objective function.
18,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",College Admissions,"20,000 admissions",,no,"Gender/Sex, Race",,In-process,Any,"Demographic parity, Equalized odds",Reductions Approach,"The College Admissions dataset was collected by the UCLA law school. It includes data from more than 20,000 records of law school students who took the bar exam. The goal of this dataset is to predict whether a student will pass the exam based on factors such as LSAT score, undergraduate GPA, and family income. This dataset was used, for example, by Berk et al., where gender was studied as the sensitive feature, and Bechavod and Ligett, where race was studied as the sensitive feature.",A minimax optimization formulation. that aims at maximizing the predictor’s capability to predict the outcome while minimizing the capability to predict the sensitive feature. Solved using saddle point methods.
19,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Loans Default,"30,000 loans",Loans,yes,Gender/Sex,,In-process,Decision boundary based,Equalized odds,Penalizing Unfairness,"The Loans Default dataset includes 30,000 instances and 24 attributes of credit card users. It is publicly available in the UCI repository. The goal is to predict whether a customer will default on payments. The features include age, gender, marital status, past payments, credit limit, and education. This dataset was used, for example, by Bechavod and Ligett and Yeh and Lien, where gender was studied as the sensitive feature.",Minimizing a proxy for equalized odds in a penalty to the objective function.
20,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",NYPD SQF,,,,,,In-process,Logistic regression,Procedural fairness,Feature Selection for Procedurally Fair Learning,,"Perform fair feature selection to balance procedural fairness (that considers fair process rather than fair outcome) and accuracy, using constrained submodular optimization. Combines human judgments to assess procedural fairness."
20,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",NYPD SQF,,,,,,In-process,Convex boundary-based classifiers,Group preference-based fairness,Achieving preferred treatment and preferred impact,,In-process mechanisms that solves an optimization problem that balances accuracy and tractable proxies for preferred treatment and preferred impact.
21,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Cancer,,,,,,Pre-process,Any,Group preference-based fairness,Decoupled Classifiers with Preference Guarantees,,Recursive feature selection procedure for building decoupled classifiers.
22,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Heritage health,"147,473",Health,yes,Age,,"Pre-process, In-process",Logistic regression,Demographic parity,Learning Fair Representations,"The Heritage health dataset originated from a competition conducted by the United States as a competition to improve healthcare through early prediction. It includes data of 147,473 patients with 139 features. The goal of this dataset is to predict whether an individual will spend any days in the hospital during the next year. This dataset was studied, for example, in the work of Zemel et al., Louizos et al., and Tramer et al., where age was the sensitive feature. The dataset is publicly available from Heritage Health Prize Contest Data","Combining fair representation learning with an in-process model by a multi-objective loss function that requires representations to retain information of the original vectors, induce fair statistical parity, and maintain as high accuracy as possible."
22,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Heritage health,"147,473",Health,yes,Age,,"Pre-process, In-process",Any,"Demographic parity, Mean difference",Variational Fair Autoencoder,"The Heritage health dataset originated from a competition conducted by the United States as a competition to improve healthcare through early prediction. It includes data of 147,473 patients with 139 features. The goal of this dataset is to predict whether an individual will spend any days in the hospital during the next year. This dataset was studied, for example, in the work of Zemel et al., Louizos et al., and Tramer et al., where age was the sensitive feature. The dataset is publicly available from Heritage Health Prize Contest Data",Fair representation learning using a variational autoencoder. Additional penalty for controlling distribution matching between groups using MMD criterion.
23,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Ricci,118,Healthcare and social,yes,Race,,,,,,"description 1: The Ricci dataset includes the results of an exam administered to 118 individuals to determine which of them would receive a promotion. The dataset originated from a case that was brought to the U.S. Supreme Court. The goal of this dataset is to successfully predict whether an individual receives a promotion based on features that were tested in the exam, as well as the current position of each individual. The sensitive attribute in this dataset is race. The dataset is publicly available from Friedler et al.",
23,11. A survey on datasets for fairness-aware machine learning,"Tai Le Quy1, Arjun Roy, Vasileios Iosifidis, Wenbin Zhang, Eirini Ntoutsi",Ricci,118,Healthcare and social,yes,Race,,,,,,"description 2: The Ricci dataset was generated by the Ricci v.DeStefano case (Supreme Court of the United States, 2009), in whichthey investigated the results of a promotion exam within a fire department in November 2003 and December 2003. Although it is a relatively small dataset, it has been employed for fairness-aware classification tasks in many studies.",
24,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Mexican Poverty,183,Poverty,no,"Young and old families, Urban and rural areas",,,,,,"The Mexican poverty dataset includes poverty estimation for determining whether to match households with social programs. The data originated from a survey of 70,305 households in 2016. The target feature is poverty level, and there are 183 features. This dataset was studied, for example, in the work of Bakker et al. and Noriega-Campero. The authors studied two sensitive features: young and old families, as well as urban and rural areas.",
25,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Diabetes,"100,000 incidents",Health,yes,Race,,,,,,"description 1: The Diabetes dataset includes hospital data for the task of predicting whether a patient will be readmitted. It is publicly available in the UCI repository. The data contain approximately 100,000 instances and 235 attributes. This dataset was studied, for example, in the work of Edwards and Storkey, where race was the sensitive feature.",
25,"9. Fairness issues, current approaches, and challenges in machine learning models","Tonni Das Jui, Pablo Rivas",Diabetes,"100,000 incidents",Health,yes,,,,,,,"description 2: : It is widely used in healthcare research. the key characteristics of this dataset are nine attributes capturing health-related measurements and demographic information (numerical and categorical). The predicting attribute in the Diabetes Dataset is the “Outcome” attribute, which represents the presence or absence of diabetes in the individual. This attribute serves as the target variable for classification tasks. ",
25,11. A survey on datasets for fairness-aware machine learning,"Tai Le Quy1, Arjun Roy, Vasileios Iosifidis, Wenbin Zhang, Eirini Ntoutsi",Diabetes,"100,000 incidents",Health,yes,Gender/Sex,,,,,,description 3: The diabetes dataset describes the clinical care at 130 US hospitals and integrated delivery networks from 1999 to 2008. The classification task is to predict whether a patient will readmit within 30 days.,
26,3. A Review on Fairness in Machine Learning,"DANA PESSACH, EREZ SHMUELI",Bank Marketing,"41,188",Financial,yes,Age,,,,,,"description 1: The Bank Marketing dataset is a publicly available dataset in the UCI repository, and it includes 41,188 individuals with 20 attributes. The task is to predict whether the client has subscribed to a term deposit service based on features such as marital status and age. It was previously investigated by Zafar et al., where age was studied as the sensitive attribute.",
26,11. A survey on datasets for fairness-aware machine learning,"Tai Le Quy1, Arjun Roy, Vasileios Iosifidis, Wenbin Zhang, Eirini Ntoutsi",Bank Marketing,"45,211",Financial,yes,"Age, Marital",,,,,,description 2: The bank marketing dataset is related to the direct marketing campaigns of a Portuguese banking institution from 2008 to 2013. There is a variety of researchers investigating this dataset in their studies. The classification goal is to predict whether a client will make a deposit subscription or not.,
27,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",AFHQ,,,,,,In-process,,"Demographic parity, Equalized odds",,,
28,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",Cats and Dogs,,,,,,In-process,,"Demographic parity, Equalized odds",,,
29,2. A Survey on Bias and Fairness in Machine Learning,"NINAREH MEHRABI, FRED MORSTATTER, NRIPSUTA SAXENA, KRISTINA LERMAN, ARAM GALSTYAN",COMPAS,"18,610 crime records",Criminology,,"Race, Gender/Sex",,,,,,"description 1: The COMPAS dataset contains records for defendants from Broward County indicating their jail and prison times, demographics, criminal histories, and COMPAS risk scores from 2013 to 2014.",
29,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",COMPAS,"18,610 crime records",Criminology,,"Race, Gender/Sex",,Pre-process,,"Demographic parity, Positive Predictive Value, FNR, FPR",,"description 2: The COMPAS dataset describes a binary classification task, which shows whether an inmate will re-offend within two years, has sensitive attributes such as race, age, and gender. This is one of the most widely used datasets for bias and fairness experiments, with a controversial and relevant topic.",
29,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",COMPAS,"18,610 crime records",Criminology,,"Race, Gender/Sex",,In-process,,"Disparate impact, FNR, TPR, FPR, Demographic parity, Equalized odds, Equality of Opportunity, Accuracy",,"description 2: The COMPAS dataset describes a binary classification task, which shows whether an inmate will re-offend within two years, has sensitive attributes such as race, age, and gender. This is one of the most widely used datasets for bias and fairness experiments, with a controversial and relevant topic.",
29,11. A survey on datasets for fairness-aware machine learning,"Tai Le Quy1, Arjun Roy, Vasileios Iosifidis, Wenbin Zhang, Eirini Ntoutsi",COMPAS,"18,610 crime records",Criminology,,"Race, Gender/Sex",,,,,,"description 3: The COMPAS is a recent dataset, compared to the rest of the datasets in our survey, which was released by ProPublica14 in 2016 based on the Broward County data.",
30,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",FlickrFaces,,,,,,In-process,,"Demographic parity, Equalized odds",,,
31,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",Student,,,,,,In-process,,"Demographic parity, Equalized odds",,,
32,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",MovieLens,"1,000,000",,,,,In-process,,"Statistical Parity, Equalized odds Difference, Equalized odds",,"The MovieLens 1M dataset contains a set of movie ratings from the MovieLens website, a movie recommendation service of 1 million reviews from 6000 users for 4000 movies, with demographics such as gender, age, occupation, and zip code, plus data from the movies and the ratings.",
33,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",Florida Department of Corrections (FDOC),,,,,,In-process,,"FPR, FNR, Accuracy",,"The FDOC dataset, on the other hand, contains sentences with the types of charges, which can be violent charges (murder, manslaughter, sex crimes, and other violent crimes); robbery; burglary; other property charges (including theft, fraud, and damage); drug-related charges; and other charges (including weapons and other public order offenses). The dataset uses Florida Department of Law Enforcement (FDLE) criminal history records for recidivism information within 3 years. They have the attributes such as the major crime category, the offender’s age of admission and release, time served in prison, number of crimes committed prior to arrest, race, marital status, employment status, gender, education level, and if recidivist whether they were supervised after release.",
34,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",Boston housing price,,,,,,Pre-process,,,,"The Boston dataset has data extracted from the Boston Standard Metropolitan Statistical Area (SMSA) in 1970 and each of the 506 samples represents data obtained on 14 characteristics for households. The classification of this model aims to predict the property value of the region using attributes such as crime rate, proportion of residential land, and average number of rooms per household, among others.",
35,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",Medical Expenditure Panel Survey (MEPS),,,,,,In-process,,"Absolute Balanced Accuracy Difference, Absolute Average Odds Difference, Absolute Equal Opportunity Rate Difference, Statistical Parity Difference",,"The MEPS dataset contains data on families and individuals in the United States, with their medical providers and employers, with information on the cost and use of health care or insurance.",
35,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",Medical Expenditure Panel Survey (MEPS),,,,,,Pre-process,,,,"The MEPS dataset contains data on families and individuals in the United States, with their medical providers and employers, with information on the cost and use of health care or insurance.",
36,"8. Bias and Unfairness in Machine Learning Models: A Systematic Review on Datasets, Tools, Fairness Metrics, and Identification and Mitigation Methods","Tiago P. Pagano, Rafael B. Loureiro, Fernanda V. N. Lisboa, Rodrigo M. Peixoto, Guilherme A. S. Guimarães, Gustavo O. R. Cruz, Maira M. Araujo, Lucas L. Santos, Marco A. S. Cruz, Ewerton L. S. Oliveira, Ingrid Winkler, Erick G. S. Nascimento",Heart Disease,,,,,,Pre-process,,,,"The MEPS dataset contains data on families and individuals in the United States, with their medical providers and employers, with information on the cost and use of health care or insurance.",
